"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"298","(DO NOT READ) Don't know","Somewhat important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Indep/Don't lean","(DO NOT READ) Don't know/Refused","Liberal","Never been married"
"299",NA,"Somewhat important","Very important","Oppose","The insurance company (or)","Not too important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Republican","(DO NOT READ) Don't know/Refused","Conservative","Married"
"300",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","(DO NOT READ) Don't know",NA,"Some college, no degree (includes some community college)","65+","Democrat","Less than $20,000","(DO NOT READ) Don't know/Refused","Living with a partner"
"301","(DO NOT READ) Don't know","Very important","Very important","Oppose","The woman herself (or)","Should not be done","(DO NOT READ) Don't know","(DO NOT READ) Don't know","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Oppose",NA,"High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep/Don't lean","$30,000 to less than $40,000","Moderate","Widowed"
"302","No, law does not do this","Somewhat important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","18-24","Democrat","$20,000 to less than $30,000","Moderate","Separated"
"303","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Democrat","(DO NOT READ) Don't know/Refused","Liberal","Married"
"304","No, law does not do this","Very important","Very important","Support","(DO NOT READ) Don't know","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","(DO NOT READ) Don't know",NA,NA,"Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","35-44","Republican","$100,000 or more","Moderate","Married"
"305","No, law does not do this","Somewhat important","Very important","Support","The insurance company (or)","Very important","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","65+","Democrat","(DO NOT READ) Don't know/Refused","Liberal","Widowed"
"306",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Democrat","$40,000 to less than $50,000","Liberal","Divorced"
"307",NA,"Somewhat important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","45-54","Democrat","$30,000 to less than $40,000","Liberal","Married"
"308",NA,"Very important","Very important","Support","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","55-64","Democrat","$100,000 or more","Moderate","Married"
"309",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Democrat","$50,000 to less than $75,000","Liberal","Married"
"310",NA,"Somewhat important","Not at all important","Oppose","The insurance company (or)","Should not be done","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","25-34","Democrat","(DO NOT READ) Don't know/Refused","Liberal","Separated"
"311","No, law does not do this","Very important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Democrat","Less than $20,000","Conservative","Married"
